"CASE_ID","CASE_PARTICIPANT_ID","RECEIVED_DATE","OFFENSE_CATEGORY","DIVERSION_PROGRAM","REFERRAL_DATE","DIVERSION_COUNT","PRIMARY_CHARGE_OFFENSE_TITLE","STATUTE","RACE","GENDER","DIVERSION_RESULT","DIVERSION_CLOSED_DATE"
"390,435,327,255","5,392,202,222,318","2022 Feb 10 12:00:00 AM","Narcotics","DDPP","2022 Apr 01 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Female",,
"390,547,131,716","5,394,499,238,933","2022 Feb 22 12:00:00 AM","Narcotics","DDPP","2022 Apr 01 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Failed","2022 Aug 12 12:00:00 AM"
"390,589,966,720","5,395,582,987,976","2022 Feb 25 12:00:00 AM","Narcotics","DDPP","2022 Apr 01 12:00:00 AM","1","POSS CAN/>100-500 GRAM/1ST","720 ILCS 550/4(d)","Black","Male","Graduated","2022 Jul 13 12:00:00 AM"
"391,183,027,553","5,408,896,274,874","2022 Apr 22 12:00:00 AM","Narcotics","DDPP","2022 Apr 01 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Latinx","Male","Graduated","2022 May 20 12:00:00 AM"
"388,561,423,303","5,350,321,244,212","2021 Jul 12 12:00:00 AM","UUW - Unlawful Use of Weapon","VC","2022 Apr 04 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Latinx","Male",,
"390,338,311,070","5,390,136,567,859","2022 Jan 31 12:00:00 AM","Narcotics","DDPP","2022 Apr 04 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Latinx","Male","Graduated","2022 May 13 12:00:00 AM"
"390,771,888,003","5,399,655,072,610","2022 Mar 14 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2022 Apr 04 12:00:00 AM","1","AGGRAVATED UNLAWFUL USE OF WEAPON","720 ILCS 5/24-1.6(a)(1)","Unknown","Unknown","Graduated","2023 Sep 21 12:00:00 AM"
"390,915,818,717","5,402,788,424,671","2022 Mar 28 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2022 Apr 04 12:00:00 AM","1","AGGRAVATED UNLAWFUL USE OF WEAPON","720 ILCS 5/24-1.6(a)(1)","Unknown","Male","Graduated","2022 Oct 26 12:00:00 AM"
"391,182,390,127","5,408,876,902,444","2022 Apr 22 12:00:00 AM","Narcotics","DDPP","2022 Apr 04 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2022 May 20 12:00:00 AM"
"391,182,900,068","5,408,894,060,882","2022 Apr 22 12:00:00 AM","Narcotics","DDPP","2022 Apr 04 12:00:00 AM","1","POSS CAN/>100-500 GRAM/1ST","720 ILCS 550/4(d)","Black","Male","Graduated","2022 Aug 05 12:00:00 AM"
"388,053,522,537","5,338,877,119,991","2021 May 25 12:00:00 AM","Narcotics","DC","2022 Apr 05 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male",,
"389,457,006,354","5,370,629,085,075","2021 Oct 14 12:00:00 AM","Narcotics","DC","2022 Apr 05 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male",,
"390,087,292,845","5,384,530,186,826","2021 Dec 29 12:00:00 AM","Narcotics","DDPP","2022 Apr 05 12:00:00 AM","1","[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS]","720 ILCS 550/5(e)","Black","Male",,
"389,432,529,208","5,370,120,973,930","2021 Oct 12 12:00:00 AM","UUW - Unlawful Use of Weapon","BR9","2022 Apr 06 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Unknown","Male",,
"389,497,164,170","5,371,531,286,781","2021 Oct 19 12:00:00 AM","Narcotics","DDPP","2022 Apr 06 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Female","Graduated","2022 Apr 06 12:00:00 AM"
"390,381,146,074","5,391,037,662,570","2022 Feb 04 12:00:00 AM","Theft","BR9","2022 Apr 06 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(1)(A)","Unknown","Unknown","Graduated","2023 Apr 05 12:00:00 AM"
"390,447,820,798","5,392,477,310,814","2022 Feb 11 12:00:00 AM","Theft","MHC","2022 Apr 06 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(1)","Unknown","Unknown",,
"390,803,249,345","5,400,320,930,679","2022 Mar 17 12:00:00 AM","Narcotics","RJCC","2022 Apr 06 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male",,
